locusTag,shortName
CDR20291_RS12155,abfD
CDR20291_RS10215,accB
CDR20291_RS10210,accC
CDR20291_RS10205,accD
CDR20291_RS06350,acd
CDR20291_RS02315,acdB
CDR20291_RS05180,acpP
CDR20291_RS05710,acpP_2
CDR20291_RS17775,acpS
CDR20291_RS04225,acrC
CDR20291_RS03830,acsB
CDR20291_RS03820,acsC
CDR20291_RS03815,acsD
CDR20291_RS03825,acsE
CDR20291_RS03840,acsV
CDR20291_RS08975,add
CDR20291_RS05075,addA
CDR20291_RS05070,addB
CDR20291_RS09360,ade
CDR20291_RS02160,adhE
CDR20291_RS15095,adhE_2
CDR20291_RS06235,alaS
CDR20291_RS17760,alr
CDR20291_RS15530,anmK
CDR20291_RS11880,araD
CDR20291_RS10685,argB
CDR20291_RS10695,argC
CDR20291_RS10675,argF
CDR20291_RS13000,argH
CDR20291_RS10690,argJ
CDR20291_RS03735,argS
CDR20291_RS09430,aroA
CDR20291_RS09425,aroB
CDR20291_RS09435,aroC
CDR20291_RS11620,aroD
CDR20291_RS09445,aroE
CDR20291_RS14030,aroE_2
CDR20291_RS07125,aroF
CDR20291_RS09420,aroF_2
CDR20291_RS13965,asnA
CDR20291_RS02275,asnB
CDR20291_RS08395,asnB_2
CDR20291_RS11720,asnS
CDR20291_RS13075,aspD
CDR20291_RS14215,aspS
CDR20291_RS11660,asrA
CDR20291_RS11655,asrB
CDR20291_RS11650,asrC
CDR20291_RS17795,atpA
CDR20291_RS17815,atpB
CDR20291_RS17780,atpC
CDR20291_RS17785,atpD
CDR20291_RS17810,atpE
CDR20291_RS17805,atpF
CDR20291_RS17790,atpG
CDR20291_RS16650,bclA2
CDR20291_RS17180,bclA3
CDR20291_RS09365,bcp
CDR20291_RS14680,bilQ
CDR20291_RS14675,bilR
CDR20291_RS01935,bioB
CDR20291_RS02470,blaCDD
CDR20291_RS06120,brnQ
CDR20291_RS06125,brnQ_2
CDR20291_RS14000,brnQ_3
CDR20291_RS00975,buk
CDR20291_RS12345,buk_2
CDR20291_RS12615,buk_3
CDR20291_RS18420,carA
CDR20291_RS18430,carA_2
CDR20291_RS18415,carB
CDR20291_RS18425,carB_2
CDR20291_RS15145,cas1b
CDR20291_RS15140,cas2
CDR20291_RS15150,cas4
CDR20291_RS12760,cas5
CDR20291_RS16160,cas5_2
CDR20291_RS15160,cas5b
CDR20291_RS12775,cas6
CDR20291_RS15175,cas6_2
CDR20291_RS16155,cas6_3
CDR20291_RS15165,cas7i
CDR20291_RS15170,cas8a1
CDR20291_RS17510,cbiB
CDR20291_RS17490,cbiD
CDR20291_RS17470,cbiG
CDR20291_RS02110,cbiQ
CDR20291_RS05205,ccpA
CDR20291_RS01215,ccpM
CDR20291_RS00960,cdaA
CDR20291_RS03470,cdd1
CDR20291_RS07390,cdeA
CDR20291_RS05225,cdeC
CDR20291_RS08125,cdeM
CDR20291_RS00035,CDR20291_RS00035
CDR20291_RS00040,CDR20291_RS00040
CDR20291_RS00045,CDR20291_RS00045
CDR20291_RS00050,CDR20291_RS00050
CDR20291_RS00055,CDR20291_RS00055
CDR20291_RS00060,CDR20291_RS00060
CDR20291_RS00065,CDR20291_RS00065
CDR20291_RS00075,CDR20291_RS00075
CDR20291_RS00080,CDR20291_RS00080
CDR20291_RS00082,CDR20291_RS00082
CDR20291_RS00090,CDR20291_RS00090
CDR20291_RS00095,CDR20291_RS00095
CDR20291_RS00110,CDR20291_RS00110
CDR20291_RS00120,CDR20291_RS00120
CDR20291_RS00125,CDR20291_RS00125
CDR20291_RS00130,CDR20291_RS00130
CDR20291_RS00135,CDR20291_RS00135
CDR20291_RS00145,CDR20291_RS00145
CDR20291_RS00150,CDR20291_RS00150
CDR20291_RS00155,CDR20291_RS00155
CDR20291_RS00160,CDR20291_RS00160
CDR20291_RS00165,CDR20291_RS00165
CDR20291_RS00170,CDR20291_RS00170
CDR20291_RS00175,CDR20291_RS00175
CDR20291_RS00180,CDR20291_RS00180
CDR20291_RS00185,CDR20291_RS00185
CDR20291_RS00190,CDR20291_RS00190
CDR20291_RS00195,CDR20291_RS00195
CDR20291_RS00200,CDR20291_RS00200
CDR20291_RS00205,CDR20291_RS00205
CDR20291_RS00210,CDR20291_RS00210
CDR20291_RS00215,CDR20291_RS00215
CDR20291_RS00220,CDR20291_RS00220
CDR20291_RS00225,CDR20291_RS00225
CDR20291_RS00230,CDR20291_RS00230
CDR20291_RS00235,CDR20291_RS00235
CDR20291_RS00240,CDR20291_RS00240
CDR20291_RS00245,CDR20291_RS00245
CDR20291_RS00250,CDR20291_RS00250
CDR20291_RS00255,CDR20291_RS00255
CDR20291_RS00260,CDR20291_RS00260
CDR20291_RS00265,CDR20291_RS00265
CDR20291_RS00270,CDR20291_RS00270
CDR20291_RS00275,CDR20291_RS00275
CDR20291_RS00280,CDR20291_RS00280
CDR20291_RS00285,CDR20291_RS00285
CDR20291_RS00290,CDR20291_RS00290
CDR20291_RS00295,CDR20291_RS00295
CDR20291_RS00300,CDR20291_RS00300
CDR20291_RS00305,CDR20291_RS00305
CDR20291_RS00310,CDR20291_RS00310
CDR20291_RS00315,CDR20291_RS00315
CDR20291_RS00320,CDR20291_RS00320
CDR20291_RS00325,CDR20291_RS00325
CDR20291_RS00330,CDR20291_RS00330
CDR20291_RS00335,CDR20291_RS00335
CDR20291_RS00340,CDR20291_RS00340
CDR20291_RS00345,CDR20291_RS00345
CDR20291_RS00350,CDR20291_RS00350
CDR20291_RS00355,CDR20291_RS00355
CDR20291_RS00360,CDR20291_RS00360
CDR20291_RS00365,CDR20291_RS00365
CDR20291_RS00370,CDR20291_RS00370
