locus_tag,old_locus_tag
CDR20291_RS00050,CDR20291_3551
CDR20291_RS00055,CDR20291_3552
CDR20291_RS00075,CDR20291_0001
CDR20291_RS00080,CDR20291_0002
CDR20291_RS00085,CDR20291_0003
CDR20291_RS00090,CDR20291_0004
CDR20291_RS00105,CDR20291_0005
CDR20291_RS00110,CDR20291_0006
CDR20291_RS00115,CDR20291_0007
CDR20291_RS00125,CDR20291_0008
CDR20291_RS00360,CDR20291_0009
CDR20291_RS00365,CDR20291_0010
CDR20291_RS00370,CDR20291_0011
CDR20291_RS00375,CDR20291_0012
CDR20291_RS00380,CDR20291_0013
CDR20291_RS00385,CDR20291_0014
CDR20291_RS00390,CDR20291_0015
CDR20291_RS00395,CDR20291_0016
CDR20291_RS00400,CDR20291_0017
CDR20291_RS00405,CDR20291_0018
CDR20291_RS00410,CDR20291_0019
CDR20291_RS00415,CDR20291_0020
CDR20291_RS00420,CDR20291_0021
CDR20291_RS00425,CDR20291_0022
CDR20291_RS00430,CDR20291_0023
CDR20291_RS00435,CDR20291_0024
CDR20291_RS00440,CDR20291_0025
CDR20291_RS00445,CDR20291_0026
CDR20291_RS00450,CDR20291_0027
CDR20291_RS00455,CDR20291_0028
CDR20291_RS00460,CDR20291_0029
CDR20291_RS00465,CDR20291_0030
CDR20291_RS00470,CDR20291_0031
CDR20291_RS00475,CDR20291_0032
CDR20291_RS00480,CDR20291_0033
CDR20291_RS00485,CDR20291_0034
CDR20291_RS00490,CDR20291_0035
CDR20291_RS00495,CDR20291_0036
CDR20291_RS00500,CDR20291_0037
CDR20291_RS00505,CDR20291_0038
CDR20291_RS00510,CDR20291_0039
CDR20291_RS00515,CDR20291_0040
CDR20291_RS00525,CDR20291_0041
CDR20291_RS00530,CDR20291_0042
CDR20291_RS00540,CDR20291_0043
CDR20291_RS00545,CDR20291_0044
CDR20291_RS00550,CDR20291_0045
CDR20291_RS00555,CDR20291_0046
CDR20291_RS00560,CDR20291_0047
CDR20291_RS00565,CDR20291_0048
CDR20291_RS00570,CDR20291_0049
CDR20291_RS00575,CDR20291_0050
CDR20291_RS00580,CDR20291_0051
CDR20291_RS00585,CDR20291_0052
CDR20291_RS00590,CDR20291_0053
CDR20291_RS00595,CDR20291_0054
CDR20291_RS00600,CDR20291_0055
CDR20291_RS00605,CDR20291_0056
CDR20291_RS00610,CDR20291_0057
CDR20291_RS00615,CDR20291_0058
CDR20291_RS00620,CDR20291_0059
CDR20291_RS00625,CDR20291_0060
CDR20291_RS00630,CDR20291_0061
CDR20291_RS00635,CDR20291_0062
CDR20291_RS00640,CDR20291_0063
CDR20291_RS00645,CDR20291_0064
CDR20291_RS00650,CDR20291_0065
CDR20291_RS00655,CDR20291_0066
CDR20291_RS00660,CDR20291_0067
CDR20291_RS00665,CDR20291_0068
CDR20291_RS00670,CDR20291_0069
CDR20291_RS00675,CDR20291_0070
CDR20291_RS00680,CDR20291_0071
CDR20291_RS00685,CDR20291_0072
CDR20291_RS00690,CDR20291_0073
CDR20291_RS00695,CDR20291_0074
CDR20291_RS00700,CDR20291_0075
CDR20291_RS00705,CDR20291_0076
CDR20291_RS00710,CDR20291_0077
CDR20291_RS00715,CDR20291_0078
CDR20291_RS00720,CDR20291_0079
CDR20291_RS00725,CDR20291_0080
CDR20291_RS00730,CDR20291_0081
CDR20291_RS00735,CDR20291_0082
CDR20291_RS00740,CDR20291_0083
CDR20291_RS00745,CDR20291_0084
CDR20291_RS00750,CDR20291_0085
CDR20291_RS00755,CDR20291_0086
CDR20291_RS00760,CDR20291_0087
CDR20291_RS00765,CDR20291_0088
CDR20291_RS00770,CDR20291_0089
CDR20291_RS00775,CDR20291_0090
CDR20291_RS00780,CDR20291_0091
CDR20291_RS00785,CDR20291_0092
CDR20291_RS00790,CDR20291_0093
CDR20291_RS00795,CDR20291_0094
CDR20291_RS00800,CDR20291_0095
CDR20291_RS00805,CDR20291_0096
CDR20291_RS00810,CDR20291_0097
CDR20291_RS00815,CDR20291_0098
CDR20291_RS00820,CDR20291_0099
CDR20291_RS00825,CDR20291_0100
CDR20291_RS00830,CDR20291_0101
CDR20291_RS00835,CDR20291_0102
CDR20291_RS00840,CDR20291_0103
CDR20291_RS00845,CDR20291_0104
CDR20291_RS00885,CDR20291_0105
CDR20291_RS00890,CDR20291_0106
CDR20291_RS00895,CDR20291_0107
CDR20291_RS00960,CDR20291_0108
CDR20291_RS00965,CDR20291_0109
CDR20291_RS00970,CDR20291_0111
CDR20291_RS00975,CDR20291_0112
CDR20291_RS00980,CDR20291_0113
CDR20291_RS00985,CDR20291_0114
CDR20291_RS00990,CDR20291_0115
CDR20291_RS00995,CDR20291_0116
CDR20291_RS01000,CDR20291_0117
CDR20291_RS01005,CDR20291_0118
CDR20291_RS01010,CDR20291_0119
CDR20291_RS01015,CDR20291_0120
CDR20291_RS01020,CDR20291_0121
CDR20291_RS01025,CDR20291_0122
CDR20291_RS01030,CDR20291_0123
CDR20291_RS01035,CDR20291_0124
CDR20291_RS01040,CDR20291_0125
CDR20291_RS01045,CDR20291_0126
CDR20291_RS01050,CDR20291_0127
CDR20291_RS01055,CDR20291_0128
CDR20291_RS01060,CDR20291_0129
CDR20291_RS01065,CDR20291_0130
CDR20291_RS01070,CDR20291_0131
CDR20291_RS01075,CDR20291_0132
CDR20291_RS01080,CDR20291_0133
CDR20291_RS01085,CDR20291_0134
CDR20291_RS01090,CDR20291_0135
CDR20291_RS01095,CDR20291_0136
CDR20291_RS01100,CDR20291_0137
CDR20291_RS01105,CDR20291_0138
CDR20291_RS01110,CDR20291_0139
CDR20291_RS01115,CDR20291_0140
CDR20291_RS01120,CDR20291_0141
CDR20291_RS01125,CDR20291_0142
CDR20291_RS01130,CDR20291_0143
CDR20291_RS01135,CDR20291_0144
CDR20291_RS01140,CDR20291_0145
CDR20291_RS01145,CDR20291_0146
CDR20291_RS01150,CDR20291_0147
CDR20291_RS01155,CDR20291_0148
CDR20291_RS01160,CDR20291_0149
CDR20291_RS01165,CDR20291_0150
CDR20291_RS01170,CDR20291_0151
CDR20291_RS01175,CDR20291_0152
CDR20291_RS01180,CDR20291_0153
CDR20291_RS01185,CDR20291_0154
CDR20291_RS01190,CDR20291_0155
CDR20291_RS01195,CDR20291_0156
CDR20291_RS01200,CDR20291_0157
CDR20291_RS01205,CDR20291_0158
CDR20291_RS01210,CDR20291_0159
CDR20291_RS01215,CDR20291_0160
CDR20291_RS01220,CDR20291_0161
CDR20291_RS01225,CDR20291_0162
CDR20291_RS01230,CDR20291_0163
CDR20291_RS01235,CDR20291_0164
CDR20291_RS01240,CDR20291_0165
CDR20291_RS01245,CDR20291_0166
CDR20291_RS01250,CDR20291_0167
CDR20291_RS01255,CDR20291_0168
CDR20291_RS01260,CDR20291_0169
CDR20291_RS01265,CDR20291_0170
CDR20291_RS01270,CDR20291_0171
CDR20291_RS01275,CDR20291_0172
CDR20291_RS01280,CDR20291_0173
CDR20291_RS01285,CDR20291_0174
CDR20291_RS01290,CDR20291_0175
CDR20291_RS01295,CDR20291_0176
CDR20291_RS01300,CDR20291_0177
CDR20291_RS01305,CDR20291_0178
CDR20291_RS01310,CDR20291_0179
CDR20291_RS01315,CDR20291_0180
CDR20291_RS01320,CDR20291_0181
CDR20291_RS01325,CDR20291_0182
CDR20291_RS01330,CDR20291_0184
CDR20291_RS01335,CDR20291_0185
CDR20291_RS01340,CDR20291_0186
CDR20291_RS01345,CDR20291_0187
CDR20291_RS01350,CDR20291_0188
CDR20291_RS01355,CDR20291_0189
CDR20291_RS01360,CDR20291_0190
CDR20291_RS01365,CDR20291_0191
CDR20291_RS01370,CDR20291_0192
CDR20291_RS01375,CDR20291_0193
CDR20291_RS01380,CDR20291_0194
CDR20291_RS01385,CDR20291_0195
