Geneid	Chr	Start	End	Strand	Length	0
CDR20291_RS00005	NC_013316.1	1	1320	+	1320	0
CDR20291_RS00010	NC_013316.1	1562	2668	+	1107	0
CDR20291_RS00015	NC_013316.1	2805	3011	+	207	0
CDR20291_RS00020	NC_013316.1	3029	4144	+	1116	0
CDR20291_RS00025	NC_013316.1	4145	6046	+	1902	0
CDR20291_RS00030	NC_013316.1	6066	8492	+	2427	0
CDR20291_RS00035	NC_013316.1	8561	8857	+	297	0
CDR20291_RS00040	NC_013316.1	8857	9117	+	261	0
CDR20291_RS00045	NC_013316.1	9129	9446	+	318	0
CDR20291_RS00050	NC_013316.1	9450	9857	+	408	0
CDR20291_RS00055	NC_013316.1	9857	10630	+	774	0
CDR20291_RS00060	NC_013316.1	10812	12314	+	1503	0
CDR20291_RS00065	NC_013316.1	12598	15495	+	2898	0
CDR20291_RS00070	NC_013316.1	15610	15726	+	117	0
CDR20291_RS00075	NC_013316.1	15853	16362	+	510	0
CDR20291_RS00080	NC_013316.1	16374	17255	+	882	0
CDR20291_RS00085	NC_013316.1	17713	18984	+	1272	0
CDR20291_RS00090	NC_013316.1	19304	19759	+	456	0
CDR20291_RS00095	NC_013316.1	19760	19851	+	92	0
CDR20291_RS00100	NC_013316.1	19889	20153	+	265	2
CDR20291_RS00105	NC_013316.1	20230	21867	+	1638	0
CDR20291_RS00110	NC_013316.1	21926	22276	+	351	0
CDR20291_RS00115	NC_013316.1	22289	22888	+	600	0
CDR20291_RS00120	NC_013316.1	23029	23250	+	222	0
CDR20291_RS00125	NC_013316.1	23321	24526	-	1206	0
CDR20291_RS00130	NC_013316.1	25034	26536	+	1503	0
CDR20291_RS00135	NC_013316.1	26820	29717	+	2898	2
CDR20291_RS00140	NC_013316.1	29899	30015	+	117	0
CDR20291_RS00145	NC_013316.1	30022	30096	+	75	0
CDR20291_RS00150	NC_013316.1	30103	30188	+	86	0
CDR20291_RS00155	NC_013316.1	30204	30279	+	76	0
CDR20291_RS00160	NC_013316.1	30287	30361	+	75	1
CDR20291_RS00165	NC_013316.1	30371	30444	+	74	1
CDR20291_RS00170	NC_013316.1	30450	30525	+	76	0
CDR20291_RS00175	NC_013316.1	30531	30607	+	77	0
CDR20291_RS00180	NC_013316.1	30617	30691	+	75	0
CDR20291_RS00185	NC_013316.1	30706	30790	+	85	3
CDR20291_RS00190	NC_013316.1	30799	30882	+	84	1
CDR20291_RS00195	NC_013316.1	30912	30988	+	77	0
CDR20291_RS00200	NC_013316.1	30996	31071	+	76	0
CDR20291_RS00205	NC_013316.1	31160	31248	+	89	0
CDR20291_RS00210	NC_013316.1	31252	31327	+	76	0
CDR20291_RS00215	NC_013316.1	31334	31407	+	74	0
CDR20291_RS00220	NC_013316.1	31422	31498	+	77	0
CDR20291_RS00225	NC_013316.1	31522	31598	+	77	0
CDR20291_RS00230	NC_013316.1	31606	31682	+	77	0
CDR20291_RS00235	NC_013316.1	31691	31766	+	76	0
CDR20291_RS00240	NC_013316.1	31774	31847	+	74	0
CDR20291_RS00245	NC_013316.1	31854	31928	+	75	0
CDR20291_RS00250	NC_013316.1	31934	32019	+	86	0
CDR20291_RS00255	NC_013316.1	32035	32110	+	76	0
CDR20291_RS00260	NC_013316.1	32118	32192	+	75	0
CDR20291_RS00265	NC_013316.1	32202	32275	+	74	0
CDR20291_RS00270	NC_013316.1	32281	32356	+	76	1
CDR20291_RS00275	NC_013316.1	32362	32438	+	77	0
CDR20291_RS00280	NC_013316.1	32448	32522	+	75	2
CDR20291_RS00285	NC_013316.1	32537	32621	+	85	1
CDR20291_RS00290	NC_013316.1	32631	32714	+	84	0
CDR20291_RS00295	NC_013316.1	32738	32812	+	75	1
CDR20291_RS00300	NC_013316.1	32837	32913	+	77	1
CDR20291_RS00305	NC_013316.1	32923	32998	+	76	1
CDR20291_RS00310	NC_013316.1	33007	33082	+	76	0
CDR20291_RS00315	NC_013316.1	33085	33173	+	89	0
CDR20291_RS00320	NC_013316.1	33177	33252	+	76	0
CDR20291_RS00325	NC_013316.1	33259	33332	+	74	0
CDR20291_RS00330	NC_013316.1	33347	33423	+	77	0
CDR20291_RS00335	NC_013316.1	33441	33517	+	77	0
CDR20291_RS00340	NC_013316.1	33526	33601	+	76	0
CDR20291_RS00345	NC_013316.1	33609	33682	+	74	0
CDR20291_RS00350	NC_013316.1	33690	33766	+	77	0
CDR20291_RS00355	NC_013316.1	33779	33854	+	76	0
CDR20291_RS00360	NC_013316.1	33930	34343	+	414	0
CDR20291_RS00365	NC_013316.1	34652	38083	+	3432	0
CDR20291_RS00370	NC_013316.1	38325	40253	+	1929	0
CDR20291_RS00375	NC_013316.1	40715	41170	+	456	0
CDR20291_RS00380	NC_013316.1	41177	41671	+	495	0
CDR20291_RS00385	NC_013316.1	41687	42712	+	1026	0
CDR20291_RS00390	NC_013316.1	42699	45146	+	2448	0
CDR20291_RS00395	NC_013316.1	45326	46699	+	1374	0
CDR20291_RS00400	NC_013316.1	46702	47772	+	1071	0
CDR20291_RS00405	NC_013316.1	47861	48955	+	1095	0
CDR20291_RS00410	NC_013316.1	49084	51261	+	2178	0
CDR20291_RS00415	NC_013316.1	51447	52292	-	846	0
CDR20291_RS00420	NC_013316.1	52509	53675	+	1167	0
CDR20291_RS00425	NC_013316.1	53697	55343	+	1647	0
CDR20291_RS00430	NC_013316.1	55440	56813	+	1374	0
CDR20291_RS00435	NC_013316.1	57258	58211	+	954	0
CDR20291_RS00440	NC_013316.1	58249	59211	+	963	0
CDR20291_RS00445	NC_013316.1	59236	60222	+	987	0
CDR20291_RS00450	NC_013316.1	60235	61281	+	1047	0
CDR20291_RS00455	NC_013316.1	61448	63178	+	1731	0
CDR20291_RS00460	NC_013316.1	63596	66544	+	2949	0
CDR20291_RS00465	NC_013316.1	66522	66986	+	465	0
CDR20291_RS00470	NC_013316.1	67099	67401	+	303	0
CDR20291_RS00475	NC_013316.1	67478	68827	+	1350	0
CDR20291_RS00480	NC_013316.1	68862	69335	+	474	0
CDR20291_RS00485	NC_013316.1	69507	70157	+	651	0
CDR20291_RS00490	NC_013316.1	70331	71263	+	933	0
CDR20291_RS00495	NC_013316.1	71537	72250	+	714	0
CDR20291_RS00500	NC_013316.1	72247	72732	+	486	0
CDR20291_RS00505	NC_013316.1	73099	74814	+	1716	0
CDR20291_RS00510	NC_013316.1	74936	76381	+	1446	0
CDR20291_RS00515	NC_013316.1	76821	78302	+	1482	0
CDR20291_RS00520	NC_013316.1	78523	78678	+	156	0
CDR20291_RS00525	NC_013316.1	78823	80220	+	1398	0
CDR20291_RS00530	NC_013316.1	80205	80618	+	414	0
CDR20291_RS00540	NC_013316.1	81126	81956	+	831	0
CDR20291_RS00545	NC_013316.1	81969	82463	+	495	0
CDR20291_RS00550	NC_013316.1	82490	83866	+	1377	0
CDR20291_RS00555	NC_013316.1	83842	84942	+	1101	0
CDR20291_RS00565	NC_013316.1	85423	86160	+	738	0
CDR20291_RS00570	NC_013316.1	86163	86690	+	528	0
CDR20291_RS00575	NC_013316.1	86755	87402	+	648	0
CDR20291_RS00580	NC_013316.1	87476	88669	+	1194	0
CDR20291_RS00585	NC_013316.1	88919	89068	+	150	0
CDR20291_RS00590	NC_013316.1	89094	89315	+	222	0
CDR20291_RS00595	NC_013316.1	89335	89877	+	543	0
CDR20291_RS00600	NC_013316.1	89913	90338	+	426	0
CDR20291_RS00605	NC_013316.1	90408	91106	+	699	0
CDR20291_RS00610	NC_013316.1	91329	91835	+	507	0
CDR20291_RS00615	NC_013316.1	91893	92258	+	366	0
CDR20291_RS00620	NC_013316.1	92650	93438	+	789	0
CDR20291_RS00625	NC_013316.1	93909	97625	+	3717	0
CDR20291_RS00630	NC_013316.1	97667	101152	+	3486	4
CDR20291_RS00635	NC_013316.1	101441	101863	+	423	4
CDR20291_RS00640	NC_013316.1	101986	102456	+	471	0
CDR20291_RS00645	NC_013316.1	102505	104571	+	2067	6
CDR20291_RS00650	NC_013316.1	104662	105855	+	1194	0
CDR20291_RS00655	NC_013316.1	106228	106539	+	312	0
